"J1112-6926","TPA","2022-06-23-15:26:41","2019-12-21-06:04:37","916","33","1.5","224","2"
"J1338-6204","TPA","2022-06-23-15:26:28","2019-10-31-03:52:19","967","33","2.6","496.1","4.2"
"J1112-6613","TPA","2022-06-23-15:24:28","2019-09-29-04:38:28","999","48","1.4","241.8","2"
"J1334-5839","TPA","2022-06-23-15:24:15","2019-07-14-15:55:28","1075","20","0.7","129","2"
"J1326-6408","TPA, PTA","2022-06-23-15:21:19","2019-10-31-03:24:47","967","34","1.9","221.1","2.7"
"J1319-6056","TPA, PTA","2022-06-23-15:19:05","2019-11-23-12:26:03","944","20","0.7","212.9","2"
"J1302-6350","TPA","2022-06-23-15:16:51","2020-01-03-00:24:37","903","20","0.6","118.1","2"
"J1119-7936","TPA","2022-06-23-15:16:25","2019-09-29-02:03:19","999","35","5.5","74.6","7.7"
"J1057-7914","TPA, PTA","2022-06-23-15:14:16","2019-11-23-11:15:49","944","20","2","71.7","2"
"J1259-6741","TPA","2022-06-23-15:14:08","2019-12-21-07:38:19","916","33","1.5","68.1","2.5"
"J1252-6314","TPA","2022-06-23-15:11:53","2019-07-14-15:59:17","1075","37","1.9","66.9","2"
"J1056-6258","TPA","2022-06-23-15:11:50","2019-10-19-08:10:37","979","33","1","2942.1","2"
"J1048-5832","TPA","2022-06-23-15:09:36","2019-10-19-08:08:05","979","35","1.4","831.6","2"
"J1239-6832","TPA","2022-06-23-15:07:15","2019-09-29-10:14:25","999","33","2.7","122.9","4.3"
"J1059-5742","TPA","2022-06-23-15:05:25","2019-09-29-04:34:37","999","34","2.5","59.2","4"
"J1231-4609","TPA","2022-06-23-15:04:48","2019-09-29-05:14:00","999","33","1.4","73.6","2"
"J1141-3322","TPA","2022-06-23-15:02:41","2019-09-29-04:57:45","999","34","1.1","78.4","2"
"J1215-5328","TPA","2022-06-23-15:02:29","2020-01-13-03:47:13","893","18","1.3","35","2"
"J1047-3032","TPA","2022-06-23-15:00:19","2019-09-29-04:10:55","999","20","0.7","71.9","2"
"J1204-6843","TPA","2022-06-23-15:00:08","2020-01-13-03:25:17","893","19","0.7","24.2","2"
"J1159-7910","TPA","2022-06-23-14:57:48","2019-09-29-02:07:03","999","20","0.9","56","2"
"J1034-3224","TPA","2022-06-23-14:57:34","2019-10-19-07:31:26","979","19","1.3","461.6","1.9"
"J1141-6545","RelBin, TPA, unknown","2022-06-23-14:55:25","2019-02-12-06:09:32","1228","25","7.4","168.8","2"
"J1042-5521","TPA","2022-06-23-14:53:01","2019-07-14-16:14:26","1075","36","3","642.2","4"
"J1141-3107","TPA","2022-06-23-14:52:38","2019-09-29-05:01:29","999","21","1.1","81.7","2"
"J1136-5525","TPA","2022-06-23-14:49:56","2019-10-28-03:22:23","970","33","1","440.7","2"
"J1038-5831","TPA","2022-06-23-14:47:53","2019-10-19-07:51:37","979","19","0.9","47.9","2"
"J1133-6250","TPA","2022-06-23-14:46:10","2019-09-29-03:48:03","999","33","2.2","470.4","3.5"
"J1130-6807","TPA","2022-06-23-14:43:54","2019-07-14-16:06:51","1075","19","1","25.7","2"
"J1016-5345","TPA","2022-06-23-14:42:46","2019-09-29-03:29:06","999","20","1","102.2","2"
"J1123-6651","TPA","2022-06-23-14:41:42","2020-01-03-00:20:08","903","18","0.9","80.3","2"
"J1013-5934","TPA","2022-06-23-14:40:30","2019-09-29-03:25:18","999","34","1","193.1","2"
"J1123-6102","TPA","2022-06-23-14:39:10","2019-09-29-03:40:34","999","33","1.4","87.5","2.3"
"J1001-5559","TPA","2022-06-23-14:38:18","2019-09-29-03:21:31","999","20","2.2","112.3","2"
"J1121-5444","TPA","2022-06-23-14:36:55","2019-09-29-03:36:43","999","33","1.2","255.3","2"
"J0959-4809","TPA","2022-06-23-14:35:40","2019-10-19-06:23:58","979","32","1.4","115.7","2.3"
"J1119-6127","TPA, PTA","2022-06-23-14:34:38","2019-11-23-11:52:27","944","32","1.2","149.7","2"
"J0954-5430","TPA","2022-06-23-14:33:24","2019-12-19-20:25:18","917","32","1.2","35.2","2"
"J1116-4122","TPA","2022-06-23-14:31:11","2019-09-29-04:07:05","999","33","1.9","171.1","3"
"J0952-3839","TPA","2022-06-23-14:30:59","2019-09-29-04:30:41","999","34","1.9","43.9","1.9"
"J0941-5244","TPA","2022-06-23-14:28:35","2019-10-28-01:20:24","970","19","1.1","31.5","2"
"J1114-6100","TPA","2022-06-23-14:27:44","2019-10-19-08:30:30","979","32","1.8","365.2","3"
"J0934-5249","TPA","2022-06-23-14:26:24","2019-09-29-03:10:06","999","19","1.6","137.2","2"
"J1105-6107","TPA, PTA","2022-06-23-14:25:32","2019-11-23-11:50:31","944","32","0.9","58.8","2"
"J1058-5957","TPA, PTA","2022-06-23-14:23:20","2019-11-23-11:39:30","944","18","1","29.3","2"
"J0922-4949","TPA","2022-06-23-14:22:34","2019-10-28-00:17:33","970","34","2.2","71.6","3.6"
"J1057-5226","TPA","2022-06-23-14:21:03","2019-04-02-23:01:42","1178","40","2.9","240.9","2"
"J1049-5833","TPA","2022-06-23-14:18:47","2019-11-18-23:15:22","948","18","2.3","72.4","2"
"J0855-3331","TPA","2022-06-23-14:17:35","2019-07-14-16:22:13","1075","37","3.3","62.3","4.3"
"J1047-6709","TPA","2022-06-23-14:16:27","2019-10-19-08:04:05","979","32","0.9","203.8","2"
"J1046-5813","TPA, PTA","2022-06-23-14:14:08","2019-11-23-11:06:50","944","18","0.6","48.9","2"
"J0846-3533","TPA","2022-06-23-14:13:22","2019-09-29-02:47:22","999","33","2.3","279.4","4"
"J1036-4926","TPA","2022-06-23-14:11:49","2019-09-29-03:32:53","999","34","1.4","43.1","2"
"J0838-2621","TPA","2022-06-23-14:10:53","2019-10-28-00:01:00","970","19","0.7","27.6","2"
"J1019-5749","TPA","2022-06-23-14:09:31","2019-10-19-07:27:47","979","16","0.5","72","2"
"J1016-5857","TPA","2022-06-23-14:07:19","2019-11-18-23:12:52","948","18","0.5","37.2","2"
"J1015-5719","TPA","2022-06-23-14:05:07","2019-10-19-07:15:47","979","18","0.5","96.5","2"
"J0909-7212","TPA","2022-06-23-14:03:58","2019-09-29-04:42:17","999","33","2.8","697.8","4.5"
"J1012-5857","TPA","2022-06-23-14:02:14","2019-10-19-07:01:13","979","32","1.7","71","2.7"
"J0905-5127","TPA","2022-06-23-14:01:28","2019-11-18-22:58:10","948","33","1","324.8","2"
"J1001-5507","TPA","2022-06-23-13:59:59","2019-10-19-06:36:08","979","19","1.6","619","2"
"J0904-7459","TPA","2022-06-23-13:58:55","2019-10-19-05:41:13","979","33","1.2","160.5","2"
"J0955-5304","TPA","2022-06-23-13:56:46","2019-09-29-03:17:45","999","34","1.9","91.4","3"
"J0902-6325","TPA","2022-06-23-13:56:34","2019-09-29-04:46:06","999","20","0.9","60.8","2"
"J0857-4424","TPA","2022-06-23-13:54:06","2019-11-18-22:51:47","948","19","0.6","19.5","2"
"J0942-5657","TPA","2022-06-23-13:53:52","2019-09-29-03:13:55","999","34","1.9","73.4","2.7"
"J0940-5428","TPA","2022-06-23-13:51:39","2019-11-18-23:04:48","948","19","0.5","48","2"
"J1311-1228","TPA","2022-06-23-13:50:58","2020-02-22-03:50:35","853","17","0.8","558.4","2"
"J1257-1027","TPA","2022-06-23-13:48:46","2019-09-29-10:23:53","999","17","0.8","177.6","2"
"J1041-1942","TPA","2022-06-23-13:46:04","2019-09-29-04:14:43","999","33","1.9","76","2"
"J0924-5302","TPA","2022-06-23-13:45:50","2019-09-29-03:06:22","999","34","1.9","116","2.7"
"J1018-1642","TPA","2022-06-23-13:43:46","2019-09-29-04:18:29","999","19","1.9","51.8","2"
"J0908-4913","TPA","2022-06-23-13:43:35","2019-10-19-05:56:23","979","33","0.9","556.8","2"
"J0944-1354","TPA","2022-06-23-13:41:23","2019-07-14-16:45:32","1075","20","0.9","171.4","2"
"J0905-4536","TPA","2022-06-23-13:41:21","2019-09-29-03:02:34","999","19","1.5","81.1","2"
"J0904-4246","TPA","2022-06-23-13:37:07","2019-07-14-16:26:00","1075","36","3","58","4"
"J1136+1551","TPA","2022-06-23-13:36:34","2019-09-29-10:19:43","999","33","2.5","4992.4","4"
"J0901-4624","TPA","2022-06-23-13:34:53","2019-12-19-19:50:32","917","34","1.3","20.8","2"
"J0953+0755","TPA","2022-06-23-13:34:06","2019-09-29-05:05:47","999","33","1","4309.3","2"
"J0856-6137","TPA","2022-06-23-13:32:27","2019-09-29-04:53:36","999","20","1.2","187.7","2"
"J0943+1631","TPA","2022-06-23-13:31:48","2019-09-29-05:09:35","999","18","1.2","92.3","2"
"J0849-6322","TPA","2022-06-23-13:30:14","2019-09-29-04:49:52","999","20","0.7","29.6","2"
"J0922+0638","TPA","2022-06-23-13:29:28","2019-09-29-04:22:27","999","21","1.2","721.1","2"
"J0843-5022","TPA","2022-06-23-13:27:50","2019-09-29-02:55:00","999","21","0.7","25.5","2"
"J0837+0610","TPA","2022-06-23-13:27:09","2019-10-19-04:43:29","979","18","1.3","396.4","2"
"J0842-4851","TPA","2022-06-23-13:25:18","2019-11-18-22:40:05","948","33","1.4","48.5","2.3"
"J0823+0159","TPA","2022-06-23-13:24:55","2019-09-29-04:26:24","999","19","1.1","56.7","2"
"J0820-1350","TPA, PTA","2022-06-23-13:22:31","2019-04-22-15:25:52","1158","21","1.5","285.2","2"
"J0840-5332","TPA","2022-06-23-13:22:23","2019-09-29-02:58:45","999","34","1.6","108.4","2.6"
"J0807-5421","TPA","2022-06-23-13:20:06","2019-10-27-23:33:39","970","20","1.1","32.6","2"
"J0737-2202","TPA","2022-06-23-13:20:00","2019-05-14-10:49:28","1137","21","0.8","22.3","2"
"J0656-5449","TPA","2022-06-23-13:17:47","2019-05-14-10:57:08","1137","21","0.7","17.2","2"
"J0729-1448","TPA","2022-06-23-13:17:44","2019-11-12-22:50:55","954","31","0.9","42.4","2"
"J0511-6508","TPA","2022-06-23-13:15:20","2019-10-27-22:16:06","970","20","0.8","11.6","2"
"J0646+0905","TPA","2022-06-23-13:15:09","2019-09-29-02:35:34","999","19","1.1","87.8","2"
"J0631+1036","TPA","2022-06-23-13:12:57","2019-11-12-22:45:04","954","18","0.6","35.6","2"
"J0627+0649","TPA","2022-06-23-13:10:44","2019-09-29-02:31:47","999","19","0.6","46.7","2"
"J0749-4247","TPA","2022-06-23-13:10:39","2019-10-27-23:22:35","970","34","2.5","35.2","4"
"J0624-0424","TPA","2022-06-23-13:08:27","2019-11-18-21:52:33","948","18","1.1","119.1","2"
"J0821-4221","TPA","2022-06-23-13:08:18","2019-09-29-02:51:11","999","20","0.9","27.7","2"
