J0024-7204E ~ mlr+91 ~ B0021-72E ~ mlr+91 ~ 0.00353632915276244 ~ 4.0e-17 ~ frk+17 ~ 24.236 ~ 2.0e-03 ~ frk+17 ~ pksgc ~ * ~ 1991 ~ 2.2568483 ~ 9.0e-07 ~ frk+17 ~ 3.159E-4 ~ 4.0e-07 ~ frk+17 ~ 0.154893 ~ 9.85103E-20 ~ 6.0e-25 ~ frk+17 ~ 5.97e+08 ~ 5.69e+08 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.883 ~ -44.883 ~ 00:24:11.10528 ~ 5.0e-05 ~ frk+17 ~ -72:05:20.1492 ~ 2.0e-04 ~ frk+17 ~ 6.15 ~ 3.0e-02 ~ frk+17 ~ -2.35 ~ 6.0e-02 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] 
J0024-7204F ~ mlr+91 ~ B0021-72F ~ mlr+91 ~ 0.00262357935251262 ~ 4.0e-17 ~ frk+17 ~ 24.382 ~ 5.0e-03 ~ frk+17 ~ pksgc ~ * ~ 1991 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ 6.45029E-20 ~ 7.0e-25 ~ frk+17 ~ 4.16e+08 ~ 6.44e+08 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.899 ~ -44.892 ~ 00:24:03.85547 ~ 1.0e-04 ~ frk+17 ~ -72:04:42.8183 ~ 2.0e-04 ~ frk+17 ~ 4.52 ~ 8.0e-02 ~ frk+17 ~ -2.50 ~ 5.0e-02 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] 
J0024-7204G ~ rlm+95 ~ B0021-72G ~ rlm+95 ~ 0.00404037914356515 ~ 1.4e-16 ~ frk+17 ~ 24.436 ~ 4.0e-03 ~ frk+17 ~ pksgc ~ * ~ 1995 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ -4.21584E-20 ~ 1.7e-24 ~ frk+17 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.891 ~ -44.893 ~ 00:24:07.9603 ~ 1.0e-04 ~ frk+17 ~ -72:04:39.7030 ~ 5.0e-04 ~ frk+17 ~ 4.5 ~ 1.0e-01 ~ frk+17 ~ -2.9 ~ 1.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] 
J0024-7204H ~ mlr+91 ~ B0021-72H ~ mlr+91 ~ 0.00321034070935032 ~ 1.1e-16 ~ frk+17 ~ 24.369 ~ 8.0e-03 ~ frk+17 ~ pksgc ~ * ~ 1991 ~ 2.357696895 ~ 1.0e-08 ~ frk+17 ~ 7.0558E-2 ~ 1.0e-06 ~ frk+17 ~ 0.164088 ~ -1.8294E-21 ~ 1.1e-24 ~ frk+17 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.896 ~ -44.902 ~ 00:24:06.7032 ~ 2.0e-04 ~ frk+17 ~ -72:04:06.8067 ~ 6.0e-04 ~ frk+17 ~ 5.1 ~ 2.0e-01 ~ frk+17 ~ -2.8 ~ 2.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] 
J0024-7204I ~ mlr+91 ~ B0021-72I ~ mlr+91 ~ 0.00348499206166289 ~ 1.3e-16 ~ frk+17 ~ 24.43 ~ 1.0e-02 ~ frk+17 ~ pksgc ~ * ~ 1991 ~ 0.2297922489 ~ 4.0e-10 ~ frk+17 ~ * ~ 0 ~ * ~ 0.012899 ~ -4.5874E-20 ~ 3.0e-24 ~ frk+17 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.892 ~ -44.893 ~ 00:24:07.9347 ~ 2.0e-04 ~ frk+17 ~ -72:04:39.6815 ~ 7.0e-04 ~ frk+17 ~ 5.0 ~ 2.0e-01 ~ frk+17 ~ -2.1 ~ 2.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] 
J0024-7204J ~ mlr+91 ~ B0021-72J ~ mlr+91 ~ 0.00210063354535247 ~ 4.0e-17 ~ pf0205 ~ 24.58585 ~ 2.0e-05 ~ pf0205 ~ pksgc ~ * ~ 1991 ~ 0.12066493776 ~ 4.0e-11 ~ pf0205 ~ 4.0E-5 ~ 0.0e+00 ~ pf0205 ~ 0.020908 ~ -9.7945E-21 ~ 8.0e-25 ~ pf0205 ~ * ~ * ~ 0.44 ~ 1.0e-02 ~ zhm+19 ~ * ~ 0 ~ * ~ 305.909 ~ -44.903 ~ 00:23:59.40737 ~ 3.0e-05 ~ pf0205 ~ -72:03:58.79141 ~ 1.0e-04 ~ pf0205 ~ 5.26 ~ 1.3e-01 ~ pf0205 ~ -3.58 ~ 1.4e-01 ~ pf0205 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] 
J0024-7204L ~ rlm+95 ~ B0021-72L ~ rlm+95 ~ 0.0043461679994616 ~ 4.0e-16 ~ frk+17 ~ 24.40 ~ 1.0e-02 ~ frk+17 ~ pksgc ~ * ~ 1995 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ -1.22045E-19 ~ 4.0e-24 ~ frk+17 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.898 ~ -44.888 ~ 00:24:03.7721 ~ 3.0e-04 ~ frk+17 ~ -72:04:56.923 ~ 2.0e-03 ~ frk+17 ~ 4.4 ~ 2.0e-01 ~ frk+17 ~ -2.4 ~ 2.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] 
J0024-7204M ~ mlr+91 ~ B0021-72M ~ mlr+91 ~ 0.0036766432176002 ~ 3.0e-16 ~ frk+17 ~ 24.43 ~ 2.0e-02 ~ frk+17 ~ pksgc ~ * ~ 1991 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ -3.8419E-20 ~ 6.0e-24 ~ frk+17 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.913 ~ -44.877 ~ 00:23:54.4899 ~ 3.0e-04 ~ frk+17 ~ -72:05:30.756 ~ 2.0e-03 ~ frk+17 ~ 5.0 ~ 3.0e-01 ~ frk+17 ~ -2.0 ~ 4.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] 
J0024-7204N ~ rlm+95 ~ B0021-72N ~ rlm+95 ~ 0.00305395434626085 ~ 1.0e-16 ~ frk+17 ~ 24.574 ~ 9.0e-03 ~ frk+17 ~ pksgc ~ * ~ 1995 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ -2.18570E-20 ~ 1.9e-24 ~ frk+17 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.890 ~ -44.897 ~ 00:24:09.1880 ~ 2.0e-04 ~ frk+17 ~ -72:04:28.8907 ~ 7.0e-04 ~ frk+17 ~ 6.3 ~ 2.0e-01 ~ frk+17 ~ -2.8 ~ 2.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] 
J0024-7204O ~ clf+00 ~ * ~ * ~ 0.0026433432972419 ~ 3.0e-16 ~ pf0205 ~ 24.359 ~ 4.0e-03 ~ pf0205 ~ pksgc ~ * ~ 2000 ~ 0.1359743053 ~ 4.0e-10 ~ pf0205 ~ * ~ 0 ~ * ~ 0.021584 ~ 3.0344E-20 ~ 5.0e-24 ~ pf0205 ~ 2.87e+08 ~ 1.38e+09 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.897 ~ -44.889 ~ 00:24:04.65114 ~ 1.5e-04 ~ pf0205 ~ -72:04:53.7552 ~ 6.0e-04 ~ pf0205 ~ 4.5 ~ 9.0e-01 ~ pf0205 ~ -1.5 ~ 6.0e-01 ~ pf0205 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] 
