J0024-7204ad ~ rgf+21 ~ * ~ * ~ 0.00374 ~ 0 ~ rgf+21 ~ 24.41 ~ 0 ~ rgf+21 ~ meerkat_trapum ~ 2021 ~ 0.32 ~ 0 ~ rgf+21 ~ * ~ 0 ~ * ~ 0.199276 ~ * ~ 0 ~ * ~ * ~ * ~ 0.084 ~ 0 ~ rgf+21 ~ * ~ 0 ~ * ~ 305.898 ~ -44.902 ~ 00:24:05.67 ~ 0 ~ har10a ~ -72:04:05 ~ 0 ~ har10a ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ GC:47Tuc ~ -2.691 ~ 6.552 ~ -3.311 ~ * ~ 4.690 
J0024-7204C ~ mld+90 ~ B0021-72C ~ mld+90 ~ 0.00575677999551635 ~ 1.4e-16 ~ frk+17 ~ 24.5955 ~ 8.0e-04 ~ zhm+19 ~ pksgc ~ 1990 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ -4.98503E-20 ~ 2.0e-24 ~ frk+17 ~ * ~ * ~ 0.52 ~ 1.0e-02 ~ zhm+19 ~ * ~ 0 ~ * ~ 305.923 ~ -44.892 ~ 00:23:50.3546 ~ 1.0e-04 ~ frk+17 ~ -72:04:31.5048 ~ 4.0e-04 ~ frk+17 ~ 5.2 ~ 1.0e-01 ~ frk+17 ~ -3.1 ~ 1.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] ~ -2.691 ~ 6.551 ~ -3.310 ~ 134.61 ~ 4.690 
J0024-7204D ~ mlr+91 ~ B0021-72D ~ mlr+91 ~ 0.00535757328486573 ~ 9.0e-17 ~ frk+17 ~ 24.7432 ~ 9.0e-04 ~ zhm+19 ~ pksgc ~ 1991 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ -3.4220E-21 ~ 9.0e-25 ~ frk+17 ~ * ~ * ~ 0.35 ~ 1.0e-02 ~ zhm+19 ~ * ~ 0 ~ * ~ 305.881 ~ -44.893 ~ 00:24:13.88092 ~ 6.0e-05 ~ frk+17 ~ -72:04:43.8524 ~ 2.0e-04 ~ frk+17 ~ 4.24 ~ 7.0e-02 ~ frk+17 ~ -2.24 ~ 5.0e-02 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] ~ -2.692 ~ 6.553 ~ -3.310 ~ 106.62 ~ 4.690 
J0024-7204E ~ mlr+91 ~ B0021-72E ~ mlr+91 ~ 0.00353632915276244 ~ 4.0e-17 ~ frk+17 ~ 24.236 ~ 2.0e-03 ~ frk+17 ~ pksgc ~ 1991 ~ 2.2568483 ~ 9.0e-07 ~ frk+17 ~ 3.159E-4 ~ 4.0e-07 ~ frk+17 ~ 0.154893 ~ 9.85103E-20 ~ 6.0e-25 ~ frk+17 ~ 5.97e+08 ~ 5.69e+08 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.883 ~ -44.883 ~ 00:24:11.10528 ~ 5.0e-05 ~ frk+17 ~ -72:05:20.1492 ~ 2.0e-04 ~ frk+17 ~ 6.15 ~ 3.0e-02 ~ frk+17 ~ -2.35 ~ 6.0e-02 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] ~ -2.692 ~ 6.552 ~ -3.310 ~ 146.39 ~ 4.690 
J0024-7204F ~ mlr+91 ~ B0021-72F ~ mlr+91 ~ 0.00262357935251262 ~ 4.0e-17 ~ frk+17 ~ 24.382 ~ 5.0e-03 ~ frk+17 ~ pksgc ~ 1991 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ 6.45029E-20 ~ 7.0e-25 ~ frk+17 ~ 4.16e+08 ~ 6.44e+08 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.899 ~ -44.892 ~ 00:24:03.85547 ~ 1.0e-04 ~ frk+17 ~ -72:04:42.8183 ~ 2.0e-04 ~ frk+17 ~ 4.52 ~ 8.0e-02 ~ frk+17 ~ -2.50 ~ 5.0e-02 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] ~ -2.691 ~ 6.552 ~ -3.310 ~ 114.85 ~ 4.690 
J0024-7204G ~ rlm+95 ~ B0021-72G ~ rlm+95 ~ 0.00404037914356515 ~ 1.4e-16 ~ frk+17 ~ 24.436 ~ 4.0e-03 ~ frk+17 ~ pksgc ~ 1995 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ -4.21584E-20 ~ 1.7e-24 ~ frk+17 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.891 ~ -44.893 ~ 00:24:07.9603 ~ 1.0e-04 ~ frk+17 ~ -72:04:39.7030 ~ 5.0e-04 ~ frk+17 ~ 4.5 ~ 1.0e-01 ~ frk+17 ~ -2.9 ~ 1.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] ~ -2.692 ~ 6.552 ~ -3.310 ~ 119.04 ~ 4.690 
J0024-7204H ~ mlr+91 ~ B0021-72H ~ mlr+91 ~ 0.00321034070935032 ~ 1.1e-16 ~ frk+17 ~ 24.369 ~ 8.0e-03 ~ frk+17 ~ pksgc ~ 1991 ~ 2.357696895 ~ 1.0e-08 ~ frk+17 ~ 7.0558E-2 ~ 1.0e-06 ~ frk+17 ~ 0.164088 ~ -1.8294E-21 ~ 1.1e-24 ~ frk+17 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.896 ~ -44.902 ~ 00:24:06.7032 ~ 2.0e-04 ~ frk+17 ~ -72:04:06.8067 ~ 6.0e-04 ~ frk+17 ~ 5.1 ~ 2.0e-01 ~ frk+17 ~ -2.8 ~ 2.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] ~ -2.691 ~ 6.552 ~ -3.311 ~ 129.37 ~ 4.690 
J0024-7204I ~ mlr+91 ~ B0021-72I ~ mlr+91 ~ 0.00348499206166289 ~ 1.3e-16 ~ frk+17 ~ 24.43 ~ 1.0e-02 ~ frk+17 ~ pksgc ~ 1991 ~ 0.2297922489 ~ 4.0e-10 ~ frk+17 ~ * ~ 0 ~ * ~ 0.012899 ~ -4.5874E-20 ~ 3.0e-24 ~ frk+17 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.892 ~ -44.893 ~ 00:24:07.9347 ~ 2.0e-04 ~ frk+17 ~ -72:04:39.6815 ~ 7.0e-04 ~ frk+17 ~ 5.0 ~ 2.0e-01 ~ frk+17 ~ -2.1 ~ 2.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] ~ -2.692 ~ 6.552 ~ -3.310 ~ 120.58 ~ 4.690 
J0024-7204J ~ mlr+91 ~ B0021-72J ~ mlr+91 ~ 0.00210063354535246 ~ 5.0e-17 ~ frk+17 ~ 24.5932 ~ 1.0e-04 ~ zhm+19 ~ pksgc ~ 1991 ~ 0.12066493772 ~ 1.3e-10 ~ frk+17 ~ * ~ 0 ~ * ~ 0.020910 ~ -9.7917E-21 ~ 9.0e-25 ~ frk+17 ~ * ~ * ~ 0.44 ~ 1.0e-02 ~ zhm+19 ~ * ~ 0 ~ * ~ 305.909 ~ -44.903 ~ 00:23:59.4077 ~ 1.0e-04 ~ frk+17 ~ -72:03:58.7908 ~ 5.0e-04 ~ frk+17 ~ 5.27 ~ 6.0e-02 ~ frk+17 ~ -3.59 ~ 9.0e-02 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] ~ -2.691 ~ 6.552 ~ -3.311 ~ 141.78 ~ 4.690 
J0024-7204L ~ rlm+95 ~ B0021-72L ~ rlm+95 ~ 0.0043461679994616 ~ 4.0e-16 ~ frk+17 ~ 24.40 ~ 1.0e-02 ~ frk+17 ~ pksgc ~ 1995 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ -1.22045E-19 ~ 4.0e-24 ~ frk+17 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.898 ~ -44.888 ~ 00:24:03.7721 ~ 3.0e-04 ~ frk+17 ~ -72:04:56.923 ~ 2.0e-03 ~ frk+17 ~ 4.4 ~ 2.0e-01 ~ frk+17 ~ -2.4 ~ 2.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] ~ -2.692 ~ 6.552 ~ -3.310 ~ 111.44 ~ 4.690 
